Year,Month,Total_word,Total_freq,Republican_word,Republican_freq,Democrat_word,Democrat_freq,Male_word,Male_freq,Female_word,Female_freq,Senate_word,Senate_freq,House_word,House_freq
2014,12,support,231,health,191,years,48,support,193,department,42,law,42,open,207
2014,12,years,230,open,190,families,43,years,191,important,41,executive,42,support,195
2014,12,security,221,security,188,people,40,health,185,states,39,families,41,security,191
2010,7,law,288,law,198,financial,104,law,236,law,52,law,74,law,214
2010,7,health,203,spending,150,law,90,tax,160,health,51,health,56,spending,177
2010,7,spending,187,tax,145,health,80,spending,154,people,40,care,39,tax,158
2010,7,tax,183,health,123,wall,80,health,152,reform,38,energy,31,health,147
2010,7,financial,163,people,110,reform,72,jobs,144,receive,37,court,28,financial,146
2010,7,jobs,157,care,105,work,70,financial,131,spending,33,thune,27,jobs,138
2010,7,care,153,immigration,101,americans,62,care,124,miller,32,kagan,27,people,127
2010,7,people,146,administration,99,families,61,energy,118,work,32,state,27,economy,116
2010,7,reform,137,jobs,96,jobs,61,state,111,financial,32,safety,26,care,114
2010,7,state,128,budget,87,energy,60,economy,107,budget,32,continue,26,reform,113
2014,2,work,367,obamacare,340,state,86,state,314,work,71,obamacare,79,work,336
2014,2,state,366,work,318,address,50,obamacare,301,health,58,health,64,state,311
2014,2,obamacare,357,health,288,work,49,work,296,obamacare,56,law,58,obamacare,278
2014,2,health,337,law,282,union,49,health,279,jobs,53,state,55,jobs,277
2014,2,jobs,319,state,280,health,49,jobs,266,law,52,care,53,health,273
2014,2,law,309,jobs,269,jobs,49,care,261,state,52,dr,50,veterans,272
2014,2,care,309,care,267,years,45,veterans,258,people,50,budget,48,people,264
2014,2,people,289,veterans,252,service,42,law,257,care,48,paul,46,care,256
2014,2,veterans,288,people,250,care,42,people,239,americans,47,jobs,42,law,251
2014,2,budget,244,budget,225,people,39,debt,214,budget,45,plan,40,americans,207
2012,10,administration,182,administration,169,medicare,48,jobs,161,attack,42,mcconnell,50,jobs,167
2012,10,jobs,181,jobs,151,health,37,administration,142,administration,40,administration,33,administration,149
2012,10,security,146,security,140,program,36,energy,120,state,39,security,26,americans,121
2012,10,health,138,attack,121,work,32,tax,112,security,36,program,25,security,120
2012,10,state,136,energy,116,state,32,security,110,health,33,care,24,energy,120
2012,10,energy,133,americans,115,jobs,30,americans,110,funding,25,medicare,24,state,118
2012,10,americans,130,tax,115,million,29,people,109,cuts,24,attack,24,tax,118
2012,10,people,129,percent,111,women,28,health,105,medicare,22,health,23,health,115
2012,10,attack,121,people,109,service,26,work,104,percent,21,department,22,people,114
2012,10,tax,121,state,104,emergency,25,economy,100,people,20,libya,19,percent,112
2011,9,jobs,1019,jobs,629,jobs,361,jobs,809,jobs,210,jobs,143,jobs,876
2011,9,job,487,job,372,work,180,job,409,work,117,economy,101,job,409
2011,9,work,443,tax,308,plan,123,plan,338,job,78,job,78,work,366
2011,9,plan,403,plan,270,economy,115,work,326,economy,67,work,77,tax,342
2011,9,economy,390,economy,268,job,110,economy,323,tax,67,country,68,plan,340
2011,9,tax,388,work,256,americans,104,tax,321,plan,65,state,68,economy,289
2011,9,create,304,spending,246,create,97,spending,245,create,64,plan,63,create,259
2011,9,americans,282,regulations,233,people,85,americans,245,businesses,57,states,56,businesses,246
2011,9,businesses,279,create,202,make,82,create,240,small,55,spending,55,americans,237
2011,9,spending,269,businesses,197,small,82,regulations,224,country,50,read,54,spending,214
2013,1,spending,376,spending,372,gun,115,spending,347,violence,87,debt,88,spending,299
2013,1,tax,310,budget,302,violence,115,tax,291,gun,81,spending,77,tax,262
2013,1,budget,307,tax,280,work,57,budget,273,health,53,fiscal,70,budget,239
2013,1,debt,296,debt,273,dr,55,debt,269,work,45,security,69,debt,208
2013,1,fiscal,228,fiscal,201,women,55,fiscal,217,people,43,state,69,gun,200
2013,1,work,226,years,180,health,46,years,185,women,43,committee,68,work,167
2013,1,gun,220,work,167,king,42,work,181,research,37,budget,68,fiscal,158
2013,1,years,209,pay,162,take,41,pay,160,second,36,issues,63,years,157
2013,1,people,183,continue,147,inauguration,40,law,152,budget,34,work,59,law,152
2013,1,law,181,security,146,law,39,cuts,151,inauguration,33,defense,57,health,148
2013,4,budget,603,budget,508,budget,90,budget,515,budget,88,budget,118,budget,485
2013,4,tax,404,tax,357,work,84,tax,352,work,77,mcconnell,84,tax,331
2013,4,work,304,work,220,security,65,work,227,women,71,states,79,work,256
2013,4,health,273,health,214,women,63,health,220,families,62,health,79,people,196
2013,4,people,249,americans,208,education,62,people,200,health,53,amendment,76,health,194
2013,4,americans,239,spending,207,health,58,spending,195,tax,52,law,75,security,191
2013,4,security,230,people,203,first,56,americans,194,jobs,50,tax,73,first,186
2013,4,jobs,225,taxes,186,stem,56,security,182,people,49,state,70,jobs,178
2013,4,first,224,jobs,182,families,55,first,180,security,48,americans,62,americans,177
2013,4,spending,218,law,171,gun,55,state,180,country,47,care,56,spending,171
2014,1,health,508,health,437,work,85,health,410,health,98,state,123,health,422
2014,1,obamacare,382,obamacare,379,health,70,state,332,work,79,americans,98,obamacare,298
2014,1,work,369,state,309,insurance,65,obamacare,310,obamacare,72,health,86,work,291
2014,1,state,366,care,301,care,56,care,292,care,67,obamacare,84,care,288
2014,1,care,359,americans,290,state,54,work,290,law,64,work,78,people,263
2014,1,americans,327,work,284,million,53,americans,269,americans,58,care,71,state,243
2014,1,people,306,people,264,affordable,48,people,258,security,57,address,66,americans,229
2014,1,law,263,security,246,people,41,jobs,213,people,48,union,59,security,225
2014,1,security,263,law,235,program,39,insurance,211,passed,45,jobs,58,law,214
2014,1,jobs,253,jobs,222,working,38,security,206,jobs,40,country,53,jobs,195
2014,6,veterans,732,veterans,622,veterans,110,veterans,629,veterans,103,veterans,140,veterans,592
2014,6,energy,492,energy,463,health,83,energy,459,care,68,care,136,energy,429
2014,6,care,488,care,418,people,81,care,420,health,65,health,70,care,352
2014,6,administration,326,administration,290,work,69,administration,293,people,53,energy,63,administration,292
2014,6,health,289,committee,220,care,69,committee,250,states,40,dr,52,people,256
2014,6,people,278,states,209,need,68,people,225,read,39,access,52,committee,246
2014,6,committee,272,law,209,make,66,health,224,work,38,epa,45,law,223
2014,6,states,254,health,206,local,59,law,216,law,38,department,44,health,219
2014,6,law,254,department,196,million,56,states,214,children,36,make,43,states,211
2014,6,department,241,people,195,jobs,56,department,212,now,35,states,43,work,201
2012,5,budget,248,budget,202,veterans,81,budget,209,security,58,budget,122,health,190
2012,5,health,218,defense,185,health,66,health,186,jobs,55,tax,78,defense,182
2012,5,jobs,216,years,156,women,65,work,168,energy,47,jobs,77,work,154
2012,5,work,211,states,156,jobs,61,defense,163,women,47,years,66,small,143
2012,5,defense,197,spending,151,support,58,jobs,161,work,43,service,61,security,140
2012,5,years,185,work,151,work,55,years,160,haiti,43,work,57,jobs,139
2012,5,security,184,jobs,150,job,51,spending,150,support,42,state,52,care,138
2012,5,states,182,health,142,community,49,states,146,cuts,39,states,48,states,134
2012,5,tax,167,small,141,budget,45,veterans,142,budget,39,debt,47,veterans,133
2012,5,spending,166,security,137,families,44,law,141,states,36,people,47,military,131
2010,10,tax,278,tax,210,veterans,109,tax,246,jobs,32,tax,50,tax,228
2010,10,health,223,health,177,jobs,80,health,192,tax,32,small,43,health,213
2010,10,jobs,217,spending,152,small,69,jobs,185,health,31,businesses,40,jobs,188
2010,10,spending,169,jobs,137,tax,68,spending,150,economic,27,business,34,care,144
2010,10,care,161,care,125,million,56,small,142,law,26,veterans,31,spending,142
2010,10,small,154,economic,105,law,48,care,136,social,26,jobs,29,law,117
2010,10,law,140,economy,96,security,48,business,127,security,26,spending,27,economy,112
2010,10,businesses,139,businesses,95,business,48,businesses,125,women,26,state,24,small,111
2010,10,business,136,law,92,health,46,law,114,care,25,law,23,economic,106
2010,10,economy,126,business,88,businesses,44,economy,114,veterans,22,make,23,business,102
2013,2,spending,633,spending,577,violence,93,spending,537,spending,96,state,116,spending,540
2013,2,budget,574,budget,527,work,82,budget,501,cuts,77,budget,109,budget,465
2013,2,state,423,state,350,gun,74,state,353,budget,73,spending,93,cuts,335
2013,2,cuts,380,cuts,312,jobs,73,cuts,303,state,70,debt,91,state,307
2013,2,work,311,debt,288,state,68,debt,268,work,65,tax,77,sequestration,239
2013,2,debt,306,tax,242,cuts,65,tax,265,violence,62,care,76,years,236
2013,2,jobs,306,years,238,community,62,jobs,252,jobs,54,address,75,work,236
2013,2,tax,301,jobs,232,country,61,work,246,country,53,work,75,jobs,234
2013,2,address,288,work,229,address,60,sequestration,243,center,51,jobs,72,economy,228
2013,2,years,285,address,224,month,59,years,242,families,50,health,72,tax,224
2011,7,debt,1079,debt,826,debt,227,debt,887,debt,192,debt,173,debt,906
2011,7,spending,910,spending,797,jobs,100,spending,737,spending,173,spending,152,spending,758
2011,7,budget,619,budget,501,budget,89,budget,492,budget,127,budget,129,budget,490
2011,7,cut,376,cut,331,cuts,85,ceiling,304,tax,77,states,72,jobs,310
2011,7,ceiling,363,plan,289,security,81,cut,303,plan,75,balanced,67,cut,310
2011,7,jobs,352,ceiling,281,spending,81,jobs,292,cut,73,cut,66,ceiling,308
2011,7,plan,337,tax,256,ceiling,76,plan,262,cuts,71,cap,60,cuts,298
2011,7,cuts,325,jobs,243,medicare,74,security,255,jobs,60,main,60,plan,285
2011,7,tax,318,amendment,243,deficit,70,cuts,254,ceiling,59,amendment,60,tax,276
2011,7,security,287,balance,240,limit,70,tax,241,trillion,58,balance,57,security,240
2012,3,health,1019,health,695,health,316,health,758,health,261,health,192,health,827
2012,3,care,890,care,641,care,241,care,704,care,186,care,173,care,717
2012,3,law,651,law,564,insurance,131,law,492,law,159,law,159,law,492
2012,3,budget,572,budget,528,coverage,125,energy,492,budget,81,energy,101,budget,486
2012,3,energy,532,energy,486,affordable,119,budget,491,oil,77,americans,93,energy,431
2012,3,jobs,468,jobs,405,oil,92,jobs,395,insurance,75,jobs,91,jobs,377
2012,3,americans,325,obamacare,299,services,91,obamacare,275,jobs,73,gas,90,medicare,267
2012,3,obamacare,309,gas,259,women,89,gas,275,court,70,budget,86,oil,239
2012,3,medicare,306,americans,248,million,77,medicare,262,americans,69,prices,79,obamacare,236
2012,3,gas,304,years,238,law,76,americans,256,tax,67,obamacare,73,americans,232
2010,6,health,322,health,174,health,148,health,279,health,43,main,39,health,289
2010,6,care,254,budget,167,oil,130,care,217,care,37,tax,38,care,223
2010,6,oil,227,spending,167,care,111,spending,209,jobs,32,oil,37,spending,197
2010,6,jobs,222,care,143,small,111,oil,200,gulf,31,energy,37,oil,190
2010,6,spending,217,jobs,126,jobs,90,jobs,190,businesses,31,jobs,36,jobs,186
2010,6,budget,187,tax,121,businesses,85,budget,175,oil,27,health,33,budget,174
2010,6,tax,186,energy,114,spill,83,tax,172,small,25,care,31,tax,148
2010,6,energy,182,debt,111,families,74,energy,163,veterans,24,states,30,energy,145
2010,6,law,160,now,103,energy,68,law,146,work,23,continue,28,businesses,144
2010,6,businesses,159,law,98,veterans,66,spill,141,coast,23,address,26,spill,137
2013,8,obamacare,570,obamacare,543,work,50,obamacare,506,obamacare,64,obamacare,122,obamacare,448
2013,8,health,540,health,484,care,44,health,494,care,60,health,99,health,441
2013,8,care,475,care,412,americans,40,care,415,work,51,law,95,care,391
2013,8,law,424,law,388,people,39,law,379,people,48,care,84,law,329
2013,8,people,323,people,279,health,39,people,275,health,46,cornyn,79,people,272
2013,8,work,293,work,242,rights,38,work,242,law,45,state,63,work,257
2013,8,americans,259,town,221,jobs,34,jobs,215,americans,45,insurance,55,americans,214
2013,8,jobs,244,americans,217,families,30,americans,214,state,39,people,51,jobs,208
2013,8,state,236,passed,212,open,30,town,213,important,36,paul,50,passed,207
2013,8,town,228,state,210,affordable,29,passed,201,families,33,businesses,48,town,194
2014,10,ebola,546,ebola,475,health,90,ebola,483,ebola,63,religious,108,ebola,466
2014,10,health,450,health,360,ebola,71,health,399,health,51,ebola,80,health,403
2014,10,states,335,states,287,school,64,states,299,care,43,freedom,65,care,292
2014,10,care,322,united,267,care,64,care,279,state,41,states,60,states,275
2014,10,united,297,care,258,community,57,united,266,work,40,west,55,united,242
2014,10,people,264,people,219,work,52,people,230,states,36,united,55,people,229
2014,10,state,228,administration,192,open,49,administration,188,west,35,cruz,51,work,192
2014,10,work,213,state,181,important,48,state,187,people,34,health,47,open,183
2014,10,administration,211,west,173,states,48,work,173,open,34,state,45,state,183
2014,10,americans,192,americans,165,state,47,americans,163,energy,32,administration,44,administration,167
2014,7,border,491,border,458,care,61,border,421,border,70,veterans,60,border,451
2014,7,children,294,children,247,people,56,law,248,children,52,health,59,children,256
2014,7,law,279,law,245,bank,53,children,242,roslehtinen,37,care,57,law,240
2014,7,care,265,crisis,233,health,51,health,241,crisis,36,states,50,people,234
2014,7,crisis,263,health,210,support,48,people,239,families,32,united,45,crisis,234
2014,7,health,262,states,205,veterans,48,care,237,law,31,country,42,care,208
2014,7,people,261,people,203,children,47,crisis,227,administration,30,state,41,work,206
2014,7,work,238,care,201,jobs,45,work,215,care,28,border,40,passed,204
2014,7,states,237,work,196,workforce,44,states,213,tax,28,law,39,health,203
2014,7,passed,215,administration,194,work,42,passed,198,human,27,support,39,states,187
2012,9,work,317,work,263,veterans,51,work,254,work,63,work,52,work,265
2012,9,jobs,242,energy,203,health,42,jobs,187,jobs,55,farm,51,jobs,222
2012,9,energy,228,jobs,197,jobs,38,energy,180,energy,48,mcconnell,43,energy,211
2012,9,small,210,small,190,work,38,tax,177,business,44,veterans,40,small,194
2012,9,americans,204,tax,179,support,35,americans,174,small,44,years,36,business,180
2012,9,business,203,business,175,people,34,small,166,coal,35,americans,33,tax,173
2012,9,tax,201,americans,172,connecticut,32,business,159,businesses,32,security,32,americans,171
2012,9,passed,171,passed,152,program,30,states,140,cuts,31,debt,31,passed,158
2012,9,states,164,welfare,142,care,28,economy,140,passed,31,country,31,welfare,150
2012,9,economy,161,states,142,business,28,passed,140,americans,30,people,30,businesses,140
2009,10,health,656,health,457,health,196,health,549,health,107,health,112,health,544
2009,10,care,503,care,373,care,127,care,417,care,86,care,105,care,398
2009,10,reform,226,reform,172,insurance,78,reform,199,funding,34,reform,69,reform,157
2009,10,funding,169,tax,125,funding,67,people,136,capito,31,committee,55,funding,148
2009,10,people,154,plan,119,reform,52,funding,135,financial,30,energy,53,people,131
2009,10,insurance,149,afghanistan,119,law,44,afghanistan,131,read,29,credit,51,insurance,128
2009,10,afghanistan,143,energy,118,service,40,insurance,131,reform,27,cornyn,48,afghanistan,122
2009,10,tax,143,people,114,public,40,small,128,energy,26,veterans,46,plan,117
2009,10,energy,140,small,112,people,39,tax,127,jobs,25,states,43,tax,117
2009,10,small,139,states,112,medicare,38,plan,125,law,23,main,38,small,115
2012,4,tax,477,tax,393,work,63,tax,424,small,56,tax,88,budget,397
2012,4,budget,410,budget,368,families,47,budget,374,tax,53,jobs,48,tax,389
2012,4,energy,369,energy,329,pay,44,energy,322,energy,47,small,39,energy,348
2012,4,jobs,273,jobs,228,people,41,jobs,227,jobs,46,economy,38,jobs,225
2012,4,small,250,small,223,budget,41,health,207,work,45,mcconnell,38,health,223
2012,4,health,245,health,220,community,40,medicare,198,businesses,43,state,34,small,211
2012,4,care,223,care,207,equal,37,care,196,health,38,businesses,33,care,205
2012,4,years,215,medicare,186,students,37,small,194,families,36,security,31,medicare,196
2012,4,medicare,211,businesses,185,tax,36,years,186,budget,36,years,31,years,184
2012,4,work,209,years,182,women,35,law,169,business,34,business,30,spending,180
2012,12,tax,541,tax,430,tax,105,tax,429,tax,112,fiscal,79,tax,477
2012,12,fiscal,403,spending,343,cuts,93,spending,317,fiscal,99,tax,64,spending,348
2012,12,spending,395,fiscal,307,fiscal,91,fiscal,304,cliff,96,cliff,62,fiscal,324
2012,12,cliff,350,cliff,267,cliff,78,cliff,254,spending,78,spending,47,cliff,288
2012,12,cuts,258,taxes,163,work,57,cuts,183,cuts,75,work,44,cuts,229
2012,12,taxes,187,debt,161,families,49,taxes,159,debt,40,veterans,41,taxes,171
2012,12,debt,179,cuts,159,plan,46,debt,139,work,39,defense,38,debt,153
2012,12,work,158,economy,115,voting,44,budget,126,families,39,law,35,budget,124
2012,12,budget,155,budget,112,vote,44,plan,122,defense,39,need,35,americans,116
2012,12,plan,148,small,109,health,44,people,119,economy,35,country,33,plan,115
2013,5,health,474,health,393,veterans,114,health,392,health,82,law,108,health,376
2013,5,care,451,obamacare,391,care,84,care,376,care,75,mcconnell,106,care,362
2013,5,law,417,law,379,health,81,law,343,law,74,health,98,obamacare,321
2013,5,obamacare,400,care,367,families,57,obamacare,330,obamacare,70,people,92,law,309
2013,5,committee,354,committee,328,work,53,veterans,313,committee,59,care,89,veterans,294
2013,5,veterans,353,people,294,americans,49,committee,295,americans,58,groups,89,committee,271
2013,5,people,338,administration,275,people,42,people,281,people,57,committee,83,people,246
2013,5,americans,319,americans,269,service,40,americans,261,families,54,administration,82,americans,246
2013,5,work,298,groups,246,country,39,work,248,groups,54,obamacare,79,work,228
2013,5,administration,289,jobs,245,years,39,administration,246,work,50,americans,73,families,211
2012,2,budget,740,budget,686,tax,76,budget,625,budget,115,budget,138,budget,602
2012,2,spending,358,spending,332,jobs,72,spending,316,jobs,54,religious,105,spending,281
2012,2,jobs,356,energy,309,work,59,jobs,302,health,54,jobs,98,energy,274
2012,2,energy,343,jobs,284,health,56,energy,297,work,46,americans,79,health,266
2012,2,health,328,religious,274,budget,54,religious,284,energy,46,spending,77,jobs,258
2012,2,tax,306,health,271,americans,53,health,274,tax,45,state,72,tax,248
2012,2,religious,303,debt,236,economy,49,tax,261,spending,42,read,70,care,210
2012,2,work,272,administration,236,cut,47,law,239,care,40,energy,69,work,205
2012,2,administration,264,tax,230,program,46,administration,233,people,33,administration,69,religious,198
2012,2,americans,263,law,222,million,43,americans,231,process,33,years,68,law,197
2010,1,health,416,health,294,health,122,health,329,health,87,health,99,health,317
2010,1,care,382,care,271,jobs,112,care,298,care,84,care,97,care,285
2010,1,jobs,238,people,167,care,111,jobs,209,state,51,state,72,jobs,206
2010,1,people,217,spending,142,economy,70,people,190,plan,30,people,52,people,165
2010,1,state,179,state,126,reform,67,spending,139,jobs,29,address,39,americans,127
2010,1,spending,156,jobs,125,energy,65,americans,132,work,27,work,37,spending,125
2010,1,reform,147,tax,105,haiti,63,state,128,people,27,west,37,tax,119
2010,1,americans,147,americans,101,small,57,tax,126,west,26,states,36,economy,114
2010,1,economy,145,address,97,work,56,economy,124,passed,26,reform,34,reform,113
2010,1,tax,143,debt,91,economic,55,reform,123,haiti,25,main,33,state,107
2012,11,tax,320,tax,270,veterans,85,tax,280,tax,40,tax,88,tax,232
2012,11,veterans,176,fiscal,145,medicare,57,veterans,167,chavez,40,fiscal,52,veterans,129
2012,11,fiscal,163,cliff,120,tickets,53,fiscal,148,iran,28,veterans,47,fiscal,111
2012,11,cliff,136,spending,116,open,45,cliff,124,years,26,cornyn,37,cliff,106
2012,11,americans,127,americans,107,tax,44,spending,119,officials,26,americans,36,spending,101
2012,11,spending,126,economy,98,work,38,americans,112,united,25,state,33,jobs,100
2012,11,jobs,124,jobs,95,cuts,35,jobs,101,iranamprsquos,24,main,32,work,95
2012,11,work,120,veterans,88,inauguration,32,economy,100,jobs,23,cliff,30,americans,91
2012,11,economy,116,years,87,health,32,work,99,administration,23,cuts,28,economy,90
2012,11,people,107,work,82,service,31,cuts,92,work,21,leadership,28,people,84
2011,11,jobs,373,jobs,216,jobs,151,jobs,279,veterans,96,jobs,67,jobs,306
2011,11,veterans,294,spending,178,veterans,127,veterans,198,jobs,94,debt,63,veterans,242
2011,11,job,215,debt,171,work,75,budget,174,job,48,spending,61,job,177
2011,11,budget,198,budget,171,support,71,spending,171,support,45,veterans,52,budget,153
2011,11,health,195,veterans,163,service,56,job,167,work,43,committee,51,support,147
2011,11,debt,193,job,159,job,55,debt,161,health,39,years,49,health,146
2011,11,spending,192,health,144,important,53,health,156,small,38,health,49,energy,139
2011,11,support,181,amendment,139,energy,52,law,144,businesses,38,law,48,work,132
2011,11,work,178,vote,133,families,50,energy,140,business,35,trillion,47,spending,131
2011,11,law,167,law,127,health,50,support,136,care,34,work,46,debt,130
2013,3,budget,1110,budget,1026,women,105,budget,974,budget,136,budget,230,budget,880
2013,3,spending,645,spending,607,cuts,81,spending,580,health,65,spending,139,spending,506
2013,3,cuts,491,cuts,403,health,78,cuts,438,spending,65,mcconnell,126,cuts,410
2013,3,health,429,years,348,budget,75,health,364,years,63,amendment,120,health,337
2013,3,years,404,health,337,care,66,years,341,care,62,tax,95,years,316
2013,3,work,367,work,309,violence,65,work,324,cuts,53,read,94,work,290
2013,3,tax,318,tax,274,sequestration,58,sequestration,303,americans,49,health,92,sequestration,255
2013,3,sequestration,317,people,267,work,57,law,277,women,47,make,91,sequester,249
2013,3,care,315,programs,260,rights,51,tax,274,people,44,years,88,people,233
2013,3,law,311,law,257,years,51,people,260,sequester,44,care,86,care,229
2013,6,energy,323,energy,313,health,62,energy,241,energy,82,farm,71,energy,280
2013,6,veterans,280,veterans,245,budget,41,veterans,229,jobs,65,security,69,veterans,231
2013,6,health,259,state,222,work,39,security,198,state,65,border,65,jobs,199
2013,6,state,239,security,214,veterans,35,health,197,health,62,health,64,health,195
2013,6,jobs,238,jobs,212,law,33,states,182,support,52,immigration,61,state,179
2013,6,security,234,states,204,mental,30,law,178,veterans,51,state,60,work,174
2013,6,states,224,health,196,gwen,29,state,174,work,48,states,58,law,168
2013,6,law,219,law,182,care,28,jobs,173,people,48,need,53,military,166
2013,6,work,214,work,175,small,28,work,166,military,46,idaho,52,states,166
2013,6,committee,187,committee,169,need,27,committee,159,americans,43,amendment,52,security,165
2013,10,shutdown,969,obamacare,803,health,189,shutdown,802,shutdown,167,obamacare,138,shutdown,866
2013,10,obamacare,846,shutdown,782,shutdown,180,obamacare,717,obamacare,129,debt,105,obamacare,708
2013,10,health,683,debt,541,care,114,health,595,open,91,shutdown,103,health,599
2013,10,debt,583,law,495,continue,107,debt,517,health,88,law,89,debt,478
2013,10,law,566,health,483,insurance,99,law,490,law,76,health,84,law,477
2013,10,care,482,passed,435,services,85,passed,419,continue,74,people,64,work,441
2013,10,open,479,open,415,work,78,care,416,funding,72,spending,63,open,438
2013,10,continue,479,people,405,republicans,77,work,411,debt,66,care,62,continue,430
2013,10,work,473,work,393,affordable,76,continue,405,care,66,americans,60,passed,422
2013,10,funding,462,funding,390,benefits,72,people,398,work,62,insurance,59,funding,422
2012,8,tax,745,tax,635,tax,93,tax,636,tax,109,tax,69,tax,676
2012,8,health,273,medicare,241,health,81,health,207,health,66,state,41,medicare,263
2012,8,medicare,267,budget,209,jobs,64,small,206,medicare,63,mcconnell,39,health,245
2012,8,jobs,244,small,197,care,55,medicare,204,jobs,54,description,32,small,224
2012,8,small,239,health,192,women,49,budget,203,care,51,country,30,jobs,218
2012,8,economy,230,businesses,186,work,47,jobs,190,plan,50,economy,30,care,208
2012,8,care,229,economy,184,services,47,businesses,188,economy,45,work,28,businesses,204
2012,8,businesses,229,jobs,179,service,45,economy,185,work,43,health,28,budget,203
2012,8,budget,227,job,178,cuts,45,business,180,people,43,law,26,economy,200
2012,8,percent,215,care,174,economy,44,care,178,percent,43,jobs,26,percent,190
2015,1,work,585,work,451,work,134,work,463,work,122,state,74,work,532
2015,1,state,464,state,361,state,96,state,379,state,85,tax,69,state,390
2015,1,veterans,438,people,352,veterans,95,veterans,359,veterans,79,veterans,64,people,378
2015,1,people,420,passed,342,funding,92,people,358,health,70,committee,59,veterans,374
2015,1,passed,389,veterans,341,health,91,passed,332,families,67,address,54,passed,372
2015,1,security,367,pipeline,329,community,91,security,316,open,67,americans,54,executive,338
2015,1,pipeline,355,executive,319,years,88,first,310,care,64,work,53,security,335
2015,1,executive,353,security,308,address,78,executive,303,pipeline,64,united,51,immigration,330
2015,1,health,353,jobs,296,families,74,jobs,292,people,62,cruz,51,open,321
2015,1,first,344,immigration,294,make,71,pipeline,291,immigration,59,states,50,pipeline,313
2009,11,health,665,health,437,health,228,health,540,health,125,health,117,health,548
2009,11,care,544,care,333,care,211,care,426,care,118,care,115,care,429
2009,11,reform,200,jobs,126,reform,93,reform,165,reform,35,veterans,44,reform,157
2009,11,insurance,166,reform,107,veterans,80,insurance,139,unemployment,27,reform,43,jobs,129
2009,11,jobs,151,tax,105,insurance,78,jobs,133,insurance,27,insurance,40,insurance,126
2009,11,tax,146,medicare,101,affordable,51,tax,132,benefits,25,states,39,tax,125
2009,11,veterans,143,people,97,credit,50,veterans,122,families,24,medicare,38,people,115
2009,11,people,140,americans,95,small,47,medicare,120,economy,24,small,37,americans,105
2009,11,medicare,137,insurance,88,coverage,45,people,119,states,24,credit,31,medicare,99
2009,11,americans,130,democrats,88,people,43,americans,112,continue,23,businesses,30,veterans,99
2012,7,tax,749,tax,679,health,91,tax,656,care,97,tax,156,tax,593
2012,7,health,532,law,430,care,87,health,445,tax,93,law,74,health,459
2012,7,care,498,health,418,families,63,law,415,health,87,health,73,care,445
2012,7,law,483,care,397,tax,59,care,401,law,68,work,66,law,409
2012,7,small,380,small,356,affordable,52,small,333,families,60,mcconnell,65,small,340
2012,7,jobs,345,jobs,307,insurance,52,jobs,317,work,54,economy,62,jobs,297
2012,7,work,321,obamacare,291,americans,46,business,277,americans,54,businesses,57,obamacare,275
2012,7,businesses,315,business,283,work,42,businesses,271,small,47,care,53,business,265
2012,7,obamacare,304,businesses,283,law,42,work,267,affordable,45,americans,49,businesses,258
2012,7,business,303,work,276,pm,42,taxes,264,repeal,45,jobs,48,work,255
